school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Westbrook ES,380,49.7,50.3,≤5.0,≤5.0,≤5.0,9.5,≤5.0,74.2,7.6,≤5.0,≤5.0,15.3,Elementary School,2017-2018,,
Westover ES,278,55.0,45.0,≤5.0,14.4,34.2,25.5,≤5.0,17.6,8.3,13.3,26.3,27.7,Elementary School,2017-2018,,
Wheaton Woods ES,546,49.8,50.2,≤5.0,7.9,26.6,59.7,≤5.0,≤5.0,≤5.0,49.5,83.3,9.5,Elementary School,2017-2018,,
Whetstone ES,790,54.6,45.4,≤5.0,8.6,28.7,51.8,≤5.0,7.7,≤5.0,42.3,60.6,19.4,Elementary School,2017-2018,,
Wilson Wims ES,1207,53.3,46.7,≤5.0,43.7,14.5,13.3,≤5.0,21.9,6.5,10.2,9.8,8,Elementary School,2017-2018,,
Wood Acres ES,676,51.0,49.0,≤5.0,9.5,≤5.0,12.7,≤5.0,67.9,6.4,7.2,≤5.0,9.3,Elementary School,2017-2018,,
Woodfield ES,331,50.5,49.5,≤5.0,6.6,7.6,23.6,≤5.0,55.3,6.9,5.4,18.1,21.5,Elementary School,2017-2018,,
Woodlin ES,572,49.8,50.2,≤5.0,7.2,24.8,20.8,≤5.0,39.2,7.9,14.3,20.6,13.8,Elementary School,2017-2018,,
Wyngate ES,738,50.9,49.1,≤5.0,11,≤5.0,11.8,≤5.0,64.2,8.9,8.9,≤5.0,5.8,Elementary School,2017-2018,,
Argyle MS,989,61.7,38.3,≤5.0,10,30.1,46.9,≤5.0,10.5,≤5.0,12.6,53.8,10.9,Middle School,2017-2018,,
John T. Baker MS,872,47.5,52.5,≤5.0,6.2,12.2,25.1,≤5.0,51,5.2,≤5.0,22,15.7,Middle School,2017-2018,,
Benjamin Banneker MS,840,52.6,47.4,≤5.0,11.2,66.1,15.7,≤5.0,≤5.0,≤5.0,5.2,48.7,8.7,Middle School,2017-2018,,
Briggs Chaney MS,886,53.3,46.7,≤5.0,13.3,52.6,21.2,≤5.0,9.1,≤5.0,6.1,46,13.1,Middle School,2017-2018,,
Cabin John MS,1005,52.0,48.0,≤5.0,31.6,11.6,7.8,≤5.0,42.8,6.1,≤5.0,7.2,14.7,Middle School,2017-2018,,
Roberto W. Clemente MS,1373,50.1,49.9,≤5.0,25.5,24,29.9,≤5.0,14.9,5.6,5.8,33.4,9.9,Middle School,2017-2018,,
Eastern MS,971,46.9,53.1,≤5.0,11.2,17,45.2,≤5.0,22.3,≤5.0,18.1,50.2,11.7,Middle School,2017-2018,,
William H. Farquhar MS,703,50.1,49.9,≤5.0,12.7,25.2,15.2,≤5.0,42.5,≤5.0,≤5.0,14.7,11.4,Middle School,2017-2018,,
Forest Oak MS,861,51.6,48.4,≤5.0,6.4,25.8,54.4,≤5.0,10.2,≤5.0,16.5,56.6,15.2,Middle School,2017-2018,,
Robert Frost MS,1083,49.0,51.0,≤5.0,38.6,8,7.8,≤5.0,40.7,≤5.0,≤5.0,5.9,6,Middle School,2017-2018,,
Gaithersburg MS,830,55.8,44.2,≤5.0,6.6,21.4,49,≤5.0,19.2,≤5.0,17.1,47,18.4,Middle School,2017-2018,,
Herbert Hoover MS,1006,50.7,49.3,≤5.0,33.7,7.4,6.6,≤5.0,47.7,≤5.0,≤5.0,≤5.0,8.4,Middle School,2017-2018,,
Francis Scott Key MS,996,51.5,48.5,≤5.0,9.7,45.1,39.1,≤5.0,≤5.0,≤5.0,15.1,63.1,8.8,Middle School,2017-2018,,
"Dr. Martin Luther King, Jr.  MS",596,46.5,53.5,≤5.0,9.6,38.3,32.6,≤5.0,14.3,5.4,9.2,48.3,9.7,Middle School,2017-2018,,
Kingsview MS,1029,50.1,49.9,≤5.0,26.1,24.1,14.3,≤5.0,29.8,5.4,≤5.0,19.6,8.8,Middle School,2017-2018,,
Lakelands Park MS,1103,48.8,51.2,≤5.0,16,15.2,22,≤5.0,41.9,≤5.0,5.4,22.8,11.3,Middle School,2017-2018,,
Col. E. Brooke Lee MS,757,50.9,49.1,≤5.0,7.5,25.8,60,≤5.0,≤5.0,≤5.0,17.8,66.8,14.8,Middle School,2017-2018,,
A. Mario Loiederman MS,944,32.9,67.1,≤5.0,5.7,17.8,61,≤5.0,12.3,≤5.0,19.8,58.9,10,Middle School,2017-2018,,
Montgomery Village MS,742,54.7,45.3,≤5.0,7,32.9,53,≤5.0,≤5.0,≤5.0,18.7,67.3,15.5,Middle School,2017-2018,,
Neelsville MS,922,51.2,48.8,≤5.0,9.4,33.1,48.7,≤5.0,6,≤5.0,17.5,63.4,10.1,Middle School,2017-2018,,
Newport Mill MS,626,51.0,49.0,≤5.0,8.6,15,49.5,≤5.0,20.8,5.4,16.8,47.4,20.9,Middle School,2017-2018,,
North Bethesda MS,1165,51.6,48.4,≤5.0,11.9,9.1,12.1,≤5.0,59.1,7.6,≤5.0,7,11.2,Middle School,2017-2018,,
Parkland MS,1000,57.6,42.4,≤5.0,16.1,22.6,47,≤5.0,10.8,≤5.0,10,55,7.4,Middle School,2017-2018,,
Rosa M. Parks MS,845,52.0,48.0,≤5.0,9.9,10.5,13.5,≤5.0,60.9,5.1,≤5.0,10.9,9.6,Middle School,2017-2018,,
John Poole MS,375,45.9,54.1,≤5.0,7.2,5.6,11.7,≤5.0,71.7,≤5.0,≤5.0,10.4,10.4,Middle School,2017-2018,,
Thomas W. Pyle MS,1485,51.4,48.6,≤5.0,13.3,≤5.0,10,≤5.0,65.7,7.6,≤5.0,≤5.0,6.9,Middle School,2017-2018,,
Redland MS,560,50.4,49.6,≤5.0,13.6,19.3,38,≤5.0,23.4,5.2,10.7,41.1,10.7,Middle School,2017-2018,,
Ridgeview MS,704,53.4,46.6,≤5.0,13.1,14.1,26.6,≤5.0,41.2,≤5.0,7.1,27.8,8,Middle School,2017-2018,,
Rocky Hill MS,804,48.8,51.2,≤5.0,27.4,24.5,16.7,≤5.0,24.9,6.6,≤5.0,21.9,9.7,Middle School,2017-2018,,
Shady Grove MS,614,52.4,47.6,≤5.0,11.2,21.3,41.7,≤5.0,21.7,≤5.0,9.9,43.2,13.7,Middle School,2017-2018,,
Silver Creek MS,549,51.4,48.6,≤5.0,6.6,21.5,17.3,≤5.0,48.5,5.8,7.8,24.4,9.7,Middle School,2017-2018,,
Silver Spring International MS,1082,51.5,48.5,≤5.0,5.9,22.4,40.3,≤5.0,27,≤5.0,13.2,41.2,13.2,Middle School,2017-2018,,
Sligo MS,724,50.6,49.4,≤5.0,7.5,19.5,42,≤5.0,26.8,≤5.0,12.2,40.9,11.9,Middle School,2017-2018,,
Takoma Park MS,1090,53.6,46.4,≤5.0,17.7,31.7,15.5,≤5.0,29.6,5.4,7.3,28.1,8.5,Middle School,2017-2018,,
Tilden MS,947,53.2,46.8,≤5.0,16.9,11.1,18.2,≤5.0,47.7,5.7,11.3,12.1,15.5,Middle School,2017-2018,,
Hallie Wells MS,752,48.8,51.2,≤5.0,34.6,20.3,13,≤5.0,24.9,7,≤5.0,17.2,9.2,Middle School,2017-2018,,
Julius West MS,1324,52.0,48.0,≤5.0,19.6,15.6,23,≤5.0,34.7,6.7,7.6,23.6,8.1,Middle School,2017-2018,,
Westland MS,1037,52.7,47.3,≤5.0,5.8,9.8,14.8,≤5.0,64.2,5.1,≤5.0,8.2,10.2,Middle School,2017-2018,,
White Oak MS,789,54.0,46.0,≤5.0,9.8,29.9,50.4,≤5.0,7.1,≤5.0,15.8,62.2,7,Middle School,2017-2018,,
Earle B. Wood MS,1026,53.3,46.7,≤5.0,10.6,14,43.5,≤5.0,27.7,≤5.0,10.7,35.7,17,Middle School,2017-2018,,
Bethesda-Chevy Chase HS,2102,51.4,48.6,≤5.0,≤5.0,14.3,17.5,≤5.0,57.2,5.8,6.7,11.1,8.3,High School,2017-2018,,
Montgomery Blair HS,3083,51.4,48.6,≤5.0,15.1,23.8,33.9,≤5.0,22.5,≤5.0,18,36.3,6.8,High School,2017-2018,,
James Hubert Blake HS,1624,43.0,57.0,≤5.0,9.3,41.1,26.1,≤5.0,18.2,5.2,≤5.0,34.5,10.2,High School,2017-2018,,
Winston Churchill HS,2123,54.6,45.4,≤5.0,27.7,8.7,8.1,≤5.0,50,5.4,≤5.0,≤5.0,10.8,High School,2017-2018,,
Clarksburg HS,2148,48.4,51.6,≤5.0,19,28.9,27.9,≤5.0,19.8,≤5.0,8,26.8,9.4,High School,2017-2018,,
Damascus HS,1271,51.2,48.8,≤5.0,8.6,11.4,18.8,≤5.0,55.7,≤5.0,≤5.0,14.6,12.6,High School,2017-2018,,
Thomas Edison HS of Technology,671,66.8,33.2,≤5.0,≤5.0,23.4,59,≤5.0,10.4,≤5.0,25,42.8,26.8,High School,2017-2018,,
Albert Einstein HS,1803,49.3,50.7,≤5.0,9.3,17.8,48.4,≤5.0,20.8,≤5.0,17.1,39.7,12.9,High School,2017-2018,,
Gaithersburg HS,2388,52.9,47.1,≤5.0,7.6,23.9,50.1,≤5.0,14.9,≤5.0,23.1,40.1,13.7,High School,2017-2018,,
Walter Johnson HS,2475,52.1,47.9,≤5.0,12.2,9.9,17.7,≤5.0,54.3,5.6,5.7,7.5,11.1,High School,2017-2018,,
John F. Kennedy HS,1720,48.7,51.3,≤5.0,6.7,28.6,58.1,≤5.0,≤5.0,≤5.0,25.8,46.9,14,High School,2017-2018,,
Col. Zadok Magruder HS,1617,52.1,47.9,≤5.0,12.2,17.6,39.1,≤5.0,25.9,5.1,12.2,33.4,11.6,High School,2017-2018,,
Richard Montgomery HS,2428,49.8,50.2,≤5.0,24.7,17.5,23.4,≤5.0,29.5,≤5.0,8.9,19.5,7,High School,2017-2018,,
Northwest HS,2508,50.6,49.4,≤5.0,20,26.3,20.5,≤5.0,28,≤5.0,≤5.0,22.5,9.8,High School,2017-2018,,
Northwood HS,1731,47.5,52.5,≤5.0,5.6,24.6,53.4,≤5.0,13.5,≤5.0,23.5,52.5,10.2,High School,2017-2018,,
Paint Branch HS,2000,49.9,50.2,≤5.0,13.3,58,18.9,≤5.0,6.4,≤5.0,≤5.0,34.9,9.7,High School,2017-2018,,
Poolesville HS,1183,51.4,48.6,≤5.0,30,5.5,7.7,≤5.0,50.8,5.7,≤5.0,6.2,5.4,High School,2017-2018,,
Quince Orchard HS,2031,50.8,49.2,≤5.0,13.6,15.1,26.6,≤5.0,40.1,≤5.0,11.8,21.3,9.9,High School,2017-2018,,
Rockville HS,1476,54.9,45.1,≤5.0,11.3,13.3,41.1,≤5.0,30.5,≤5.0,12.7,31.4,14.6,High School,2017-2018,,
Seneca Valley HS,1187,48.9,51.1,≤5.0,11.9,34.5,32.9,≤5.0,16.1,≤5.0,13.3,37,13.6,High School,2017-2018,,
Sherwood HS,1967,51.0,49.0,≤5.0,11.2,15.7,18.5,≤5.0,50,≤5.0,12.2,15.2,9.3,High School,2017-2018,,
Springbrook HS,1796,59.9,40.1,≤5.0,12.8,38,38.5,≤5.0,7.2,≤5.0,17.7,45.6,8.9,High School,2017-2018,,
Watkins Mill HS,1660,52.6,47.4,≤5.0,8,29.8,50.2,≤5.0,7.7,≤5.0,24.2,50.2,11.9,High School,2017-2018,,
Wheaton HS,1958,59.8,40.2,≤5.0,12.2,22.6,54.7,≤5.0,8.5,≤5.0,21.1,49.7,8.8,High School,2017-2018,,
Walt Whitman HS,2085,51.7,48.3,≤5.0,15.2,≤5.0,8.7,≤5.0,66.8,≤5.0,≤5.0,≤5.0,9.1,High School,2017-2018,,
Thomas S. Wootton HS,2134,50.7,49.3,≤5.0,37.1,6.4,7.7,≤5.0,44.2,≤5.0,≤5.0,≤5.0,6,High School,2017-2018,,
Arcola ES,732,48.4,51.6,≤5.0,7.4,19.0,68.6,≤5.0,≤5.0,≤5.0,47.1,75.1,9.6,Elementary School,2018-2019,,
Ashburton ES,891,49.6,50.4,≤5.0,16.8,15.2,17.6,≤5.0,40.3,9.7,15.5,11.4,8.9,Elementary School,2018-2019,,
Bannockburn ES,440,53.0,47.0,≤5.0,12.7,≤5.0,11.6,≤5.0,63.2,8.2,8.6,≤5.0,6.6,Elementary School,2018-2019,,
Lucy V. Barnsley ES,721,57.0,43.0,≤5.0,14.0,9.8,33.8,≤5.0,35.1,6.9,13.7,26.9,15.1,Elementary School,2018-2019,,
Beall ES,572,54.5,45.5,≤5.0,15.7,16.1,22.4,≤5.0,39.2,6.5,17.5,30.1,16.8,Elementary School,2018-2019,,
Bel Pre ES,586,53.8,46.2,≤5.0,≤5.0,34.3,51.7,≤5.0,6.5,≤5.0,46.2,68.6,11.1,Elementary School,2018-2019,,
Bells Mill ES,619,51.4,48.6,≤5.0,31.0,10.7,8.7,≤5.0,43.6,6.0,7.8,8.6,9.2,Elementary School,2018-2019,,
Belmont ES,333,49.8,50.2,≤5.0,8.1,6.0,11.1,≤5.0,67.9,6.9,≤5.0,5.4,9.0,Elementary School,2018-2019,,
Bethesda ES,650,55.4,44.6,≤5.0,17.8,6.9,14.3,≤5.0,53.8,7.1,16.8,7.1,9.7,Elementary School,2018-2019,,
Beverly Farms ES,585,53.5,46.5,≤5.0,30.6,7.5,10.3,≤5.0,44.3,7.2,9.7,6.8,8.2,Elementary School,2018-2019,,
Bradley Hills ES,590,51.0,49.0,≤5.0,15.4,≤5.0,5.9,≤5.0,66.6,10.3,5.8,≤5.0,≤5.0,Elementary School,2018-2019,,
Brooke Grove ES,433,53.8,46.2,≤5.0,13.4,24.2,14.5,≤5.0,41.3,6.2,12.2,24.9,20.3,Elementary School,2018-2019,,
Brookhaven ES,456,54.4,45.6,≤5.0,7.7,32.5,48.7,≤5.0,8.3,≤5.0,41.9,64.9,24.1,Elementary School,2018-2019,,
Brown Station ES,585,54.4,45.6,≤5.0,12.8,26.3,46.8,≤5.0,10.3,≤5.0,33.8,60.3,21.9,Elementary School,2018-2019,,
Burning Tree ES,473,55.4,44.6,≤5.0,18.4,8.0,9.5,≤5.0,56.9,7.0,13.7,5.3,16.7,Elementary School,2018-2019,,
Burnt Mills ES,607,49.9,50.1,≤5.0,≤5.0,58.5,26.4,≤5.0,6.1,≤5.0,22.7,62.3,7.1,Elementary School,2018-2019,,
Burtonsville ES,627,52.5,47.5,≤5.0,11.3,59.8,19.9,≤5.0,5.6,≤5.0,14.0,42.6,5.4,Elementary School,2018-2019,,
Candlewood ES,367,53.1,46.9,≤5.0,17.7,14.4,16.9,≤5.0,44.1,6.0,18.8,21.5,8.4,Elementary School,2018-2019,,
Cannon Road ES,412,52.9,47.1,≤5.0,10.7,35.7,46.6,≤5.0,≤5.0,≤5.0,13.3,58.5,12.6,Elementary School,2018-2019,,
Carderock Springs ES,361,52.4,47.6,≤5.0,15.5,≤5.0,9.4,≤5.0,62.6,8.0,8.3,≤5.0,15.2,Elementary School,2018-2019,,
Rachel Carson ES,973,51.0,49.0,≤5.0,17.3,7.2,20.2,≤5.0,47.5,7.8,14.3,19.0,10.9,Elementary School,2018-2019,,
Cashell ES,363,52.3,47.7,≤5.0,7.7,17.4,24.0,≤5.0,41.0,9.9,13.5,26.4,15.7,Elementary School,2018-2019,,
Cedar Grove ES,613,49.3,50.7,≤5.0,41.8,14.7,11.1,≤5.0,27.7,≤5.0,9.5,10.0,10.4,Elementary School,2018-2019,,
Chevy Chase ES,452,52.0,48.0,≤5.0,8.4,18.6,11.9,≤5.0,53.1,8.0,9.1,19.0,≤5.0,Elementary School,2018-2019,,
Clarksburg ES,529,51.6,48.4,≤5.0,37.6,23.1,14.0,≤5.0,17.2,7.8,18.7,15.3,5.9,Elementary School,2018-2019,,
Clearspring ES,618,54.5,45.5,≤5.0,12.5,19.3,22.2,≤5.0,37.9,8.1,11.2,32.0,14.9,Elementary School,2018-2019,,
Clopper Mill ES,562,52.3,47.7,≤5.0,9.4,35.1,45.7,≤5.0,5.9,≤5.0,30.4,65.7,14.4,Elementary School,2018-2019,,
Cloverly ES,533,53.7,46.3,≤5.0,14.8,27.4,25.0,≤5.0,26.5,6.0,17.3,20.8,25.7,Elementary School,2018-2019,,
Cold Spring ES,330,50.9,49.1,≤5.0,42.4,≤5.0,6.1,≤5.0,37.6,10.0,≤5.0,≤5.0,7.6,Elementary School,2018-2019,,
College Gardens ES,695,53.8,46.2,≤5.0,21.0,19.0,19.6,≤5.0,32.7,7.6,14.4,16.1,10.4,Elementary School,2018-2019,,
Cresthaven ES,557,53.5,46.5,≤5.0,8.3,37.0,48.3,≤5.0,≤5.0,≤5.0,38.4,68.4,12.2,Elementary School,2018-2019,,
Capt. James E. Daly ES,585,51.8,48.2,≤5.0,6.5,36.6,49.6,≤5.0,≤5.0,≤5.0,44.1,75.4,8.9,Elementary School,2018-2019,,
Damascus ES,341,53.4,46.6,≤5.0,≤5.0,5.9,32.8,≤5.0,49.3,7.9,20.5,24.6,16.4,Elementary School,2018-2019,,
Darnestown ES,310,51.3,48.7,≤5.0,12.3,11.3,5.5,≤5.0,65.5,5.5,5.5,5.2,9.4,Elementary School,2018-2019,,
Diamond ES,770,50.0,50.0,≤5.0,47.9,10.1,11.3,≤5.0,24.8,5.7,21.9,7.1,10.5,Elementary School,2018-2019,,
Dr. Charles R. Drew ES,469,50.5,49.5,≤5.0,12.4,43.5,25.2,≤5.0,12.8,5.8,23.0,50.7,13.9,Elementary School,2018-2019,,
DuFief ES,310,55.8,44.2,≤5.0,28.1,12.6,11.9,≤5.0,37.4,9.7,16.8,14.2,30.0,Elementary School,2018-2019,,
East Silver Spring ES,511,53.0,47.0,≤5.0,≤5.0,57.7,20.2,≤5.0,15.3,≤5.0,27.6,51.3,12.3,Elementary School,2018-2019,,
Fairland ES,628,53.8,46.2,≤5.0,7.0,56.7,27.1,≤5.0,≤5.0,≤5.0,18.6,58.1,14.8,Elementary School,2018-2019,,
Fallsmead ES,562,50.7,49.3,≤5.0,32.2,11.0,7.8,≤5.0,42.7,5.5,13.5,9.3,8.9,Elementary School,2018-2019,,
Farmland ES,830,51.0,49.0,≤5.0,31.2,6.6,12.4,≤5.0,45.1,≤5.0,24.8,6.9,9.0,Elementary School,2018-2019,,
Fields Road ES,474,54.2,45.8,≤5.0,15.4,17.7,35.0,≤5.0,26.2,5.7,22.2,34.8,11.0,Elementary School,2018-2019,,
Flower Hill ES,456,54.8,45.2,≤5.0,10.1,28.9,48.5,≤5.0,6.8,≤5.0,37.7,55.3,12.7,Elementary School,2018-2019,,
Flower Valley ES,490,59.0,41.0,≤5.0,9.4,13.7,24.3,≤5.0,44.1,8.6,17.1,22.7,16.3,Elementary School,2018-2019,,
Forest Knolls ES,721,49.7,50.3,≤5.0,5.4,14.8,38.7,≤5.0,33.4,7.4,19.0,30.1,11.1,Elementary School,2018-2019,,
Fox Chapel ES,598,51.7,48.3,≤5.0,15.6,26.1,43.8,≤5.0,9.7,≤5.0,33.8,52.2,8.0,Elementary School,2018-2019,,
Gaithersburg ES,839,53.6,46.4,≤5.0,≤5.0,15.7,76.2,≤5.0,≤5.0,≤5.0,53.6,85.8,11.3,Elementary School,2018-2019,,
Galway ES,788,50.9,49.1,≤5.0,9.3,61.9,23.1,≤5.0,≤5.0,≤5.0,30.7,59.8,10.8,Elementary School,2018-2019,,
Garrett Park ES,798,52.9,47.1,≤5.0,15.8,11.7,25.3,≤5.0,39.0,7.9,22.1,14.7,7.6,Elementary School,2018-2019,,
Georgian Forest ES,655,52.1,47.9,≤5.0,≤5.0,23.2,61.4,≤5.0,9.0,≤5.0,44.7,77.1,9.6,Elementary School,2018-2019,,
Germantown ES,321,54.2,45.8,≤5.0,15.6,37.1,22.4,≤5.0,18.4,6.2,12.5,33.0,21.8,Elementary School,2018-2019,,
"William B. Gibbs, Jr. ES",652,51.4,48.6,≤5.0,25.9,28.5,19.0,≤5.0,20.2,5.8,15.2,33.4,21.0,Elementary School,2018-2019,,
Glen Haven ES,482,49.4,50.6,≤5.0,7.5,23.0,47.7,≤5.0,17.2,≤5.0,35.7,53.3,15.6,Elementary School,2018-2019,,
Glenallan ES,746,51.9,48.1,≤5.0,11.3,32.0,44.1,≤5.0,9.7,≤5.0,26.5,53.2,12.6,Elementary School,2018-2019,,
Goshen ES,578,53.1,46.9,≤5.0,11.9,24.6,40.1,≤5.0,18.2,≤5.0,24.2,43.8,16.8,Elementary School,2018-2019,,
Great Seneca Creek ES,606,52.0,48.0,≤5.0,12.0,35.1,24.1,≤5.0,21.5,6.3,18.6,41.6,11.6,Elementary School,2018-2019,,
Greencastle ES,700,50.1,49.9,≤5.0,7.9,66.6,21.1,≤5.0,≤5.0,≤5.0,20.6,59.7,11.7,Elementary School,2018-2019,,
Greenwood ES,515,51.1,48.9,≤5.0,8.5,11.5,12.6,≤5.0,59.2,8.0,6.2,10.7,6.4,Elementary School,2018-2019,,
Harmony Hills ES,716,51.3,48.7,≤5.0,5.7,14.1,76.1,≤5.0,≤5.0,≤5.0,55.7,79.1,9.6,Elementary School,2018-2019,,
Highland ES,548,53.6,46.4,≤5.0,6.4,9.9,73.4,≤5.0,6.9,≤5.0,51.6,77.6,11.3,Elementary School,2018-2019,,
Highland View ES,440,49.3,50.7,≤5.0,≤5.0,30.2,31.4,≤5.0,32.7,≤5.0,33.2,45.9,7.3,Elementary School,2018-2019,,
Jackson Road ES,726,51.8,48.2,≤5.0,8.0,53.6,33.6,≤5.0,≤5.0,≤5.0,33.2,77.1,16.1,Elementary School,2018-2019,,
Jones Lane ES,420,51.9,48.1,≤5.0,10.7,9.8,28.6,≤5.0,43.8,6.4,18.1,26.7,10.7,Elementary School,2018-2019,,
Kemp Mill ES,491,47.0,53.0,≤5.0,≤5.0,15.1,77.6,≤5.0,≤5.0,≤5.0,51.7,85.7,11.2,Elementary School,2018-2019,,
Kensington Parkwood ES,656,50.8,49.2,≤5.0,7.6,5.5,12.7,≤5.0,64.9,9.1,8.1,8.2,8.1,Elementary School,2018-2019,,
Lake Seneca ES,516,52.5,47.5,≤5.0,≤5.0,38.0,41.5,≤5.0,12.2,≤5.0,28.1,52.5,22.7,Elementary School,2018-2019,,
Lakewood ES,476,50.4,49.6,≤5.0,46.0,13.0,8.8,≤5.0,25.2,6.1,12.4,7.1,11.8,Elementary School,2018-2019,,
Laytonsville ES,384,53.6,46.4,≤5.0,7.8,17.7,22.1,≤5.0,43.8,8.3,10.4,16.4,16.4,Elementary School,2018-2019,,
JoAnn Leleck ES,828,50.8,49.2,≤5.0,≤5.0,12.3,83.1,≤5.0,≤5.0,≤5.0,74.6,89.4,6.3,Elementary School,2018-2019,,
Little Bennett ES,614,52.8,47.2,≤5.0,29.5,22.1,16.0,≤5.0,24.3,7.7,12.7,16.8,17.8,Elementary School,2018-2019,,
Luxmanor ES,576,51.7,48.3,≤5.0,22.9,14.9,21.4,≤5.0,35.8,≤5.0,28.1,16.3,15.1,Elementary School,2018-2019,,
Thurgood Marshall ES,667,50.2,49.8,≤5.0,17.5,18.9,28.3,≤5.0,30.4,≤5.0,18.1,29.7,16.0,Elementary School,2018-2019,,
Maryvale ES,617,47.2,52.8,≤5.0,11.0,25.1,33.2,≤5.0,22.7,7.6,26.9,44.4,12.8,Elementary School,2018-2019,,
Spark M. Matsunaga ES,728,50.7,49.3,≤5.0,40.2,19.1,15.5,≤5.0,18.8,5.8,11.1,19.6,6.2,Elementary School,2018-2019,,
S. Christa McAuliffe ES,567,49.9,50.1,≤5.0,7.2,36.0,32.8,≤5.0,16.6,6.9,24.5,50.1,9.9,Elementary School,2018-2019,,
Ronald McNair ES,847,51.8,48.2,≤5.0,28.3,26.0,17.1,≤5.0,19.8,8.4,17.0,25.6,7.4,Elementary School,2018-2019,,
Meadow Hall ES,431,54.8,45.2,≤5.0,8.1,11.8,54.5,≤5.0,18.1,7.0,32.0,55.0,18.3,Elementary School,2018-2019,,
Mill Creek Towne ES,464,50.0,50.0,≤5.0,11.4,17.5,45.0,≤5.0,19.0,6.7,27.4,43.1,16.6,Elementary School,2018-2019,,
Monocacy ES,147,53.1,46.9,≤5.0,≤5.0,≤5.0,10.2,≤5.0,72.8,8.2,6.8,15.0,11.6,Elementary School,2018-2019,,
Montgomery Knolls ES,489,51.3,48.7,≤5.0,≤5.0,26.6,46.6,≤5.0,17.2,5.9,42.1,59.3,28.2,Elementary School,2018-2019,,
New Hampshire Estates ES,442,49.5,50.5,≤5.0,≤5.0,17.0,75.3,≤5.0,≤5.0,≤5.0,66.5,88.0,10.4,Elementary School,2018-2019,,
Roscoe R. Nix ES,506,53.4,46.6,≤5.0,9.1,36.4,48.0,≤5.0,≤5.0,≤5.0,55.3,71.3,11.7,Elementary School,2018-2019,,
North Chevy Chase ES,261,54.4,45.6,≤5.0,6.5,19.9,12.6,≤5.0,55.2,5.7,9.2,19.2,7.3,Elementary School,2018-2019,,
Oak View ES,430,55.3,44.7,≤5.0,≤5.0,15.1,65.3,≤5.0,14.0,≤5.0,37.9,71.9,8.6,Elementary School,2018-2019,,
Oakland Terrace ES,490,48.8,51.2,≤5.0,5.5,13.7,33.5,≤5.0,36.5,10.6,12.4,29.4,20.2,Elementary School,2018-2019,,
Olney ES,692,49.6,50.4,≤5.0,13.4,16.2,14.2,≤5.0,49.7,6.4,11.4,17.8,10.1,Elementary School,2018-2019,,
William Tyler Page ES,535,49.2,50.8,≤5.0,12.0,48.6,22.2,≤5.0,12.1,≤5.0,17.2,40.9,6.5,Elementary School,2018-2019,,
Pine Crest ES,435,54.9,45.1,≤5.0,5.7,24.4,41.4,≤5.0,24.8,≤5.0,31.7,47.4,9.9,Elementary School,2018-2019,,
Piney Branch ES,677,48.3,51.7,≤5.0,≤5.0,33.8,16.8,≤5.0,39.4,6.9,19.2,27.2,8.6,Elementary School,2018-2019,,
Poolesville ES,480,49.0,51.0,≤5.0,7.1,6.3,12.7,≤5.0,66.0,7.5,6.3,10.8,6.7,Elementary School,2018-2019,,
Potomac ES,362,48.6,51.4,≤5.0,37.3,6.6,8.6,≤5.0,39.8,7.7,6.6,≤5.0,≤5.0,Elementary School,2018-2019,,
Judith A. Resnik ES,640,50.8,49.2,≤5.0,11.9,29.7,39.1,≤5.0,14.1,≤5.0,29.8,52.2,8.8,Elementary School,2018-2019,,
Dr. Sally K. Ride ES,519,52.0,48.0,≤5.0,15.0,39.9,33.1,≤5.0,7.5,≤5.0,24.3,52.0,21.8,Elementary School,2018-2019,,
Ritchie Park ES,432,45.8,54.2,≤5.0,17.4,16.4,13.4,≤5.0,45.4,7.2,9.7,12.7,9.7,Elementary School,2018-2019,,
Rock Creek Forest ES,739,49.1,50.9,≤5.0,8.0,17.6,32.2,≤5.0,36.0,5.8,17.1,22.1,10.7,Elementary School,2018-2019,,
Rock Creek Valley ES,441,54.6,45.4,≤5.0,15.4,10.2,37.9,≤5.0,28.8,7.5,22.0,25.4,22.9,Elementary School,2018-2019,,
Rock View ES,608,57.9,42.1,≤5.0,11.2,15.6,44.4,≤5.0,23.2,≤5.0,28.9,43.9,21.7,Elementary School,2018-2019,,
Lois P. Rockwell ES,474,54.6,45.4,≤5.0,11.0,10.5,25.7,≤5.0,45.4,6.8,9.3,17.9,20.9,Elementary School,2018-2019,,
Rolling Terrace ES,798,48.0,52.0,≤5.0,≤5.0,16.5,71.2,≤5.0,7.9,≤5.0,57.6,75.7,7.8,Elementary School,2018-2019,,
Rosemary Hills ES,559,51.5,48.5,≤5.0,≤5.0,24.9,13.2,≤5.0,51.5,5.5,15.9,26.7,12.5,Elementary School,2018-2019,,
Rosemont ES,628,54.5,45.5,≤5.0,9.6,27.5,47.5,≤5.0,9.2,6.2,44.3,53.7,11.6,Elementary School,2018-2019,,
Bayard Rustin ES,600,50.7,49.3,≤5.0,30.8,11.7,23.8,≤5.0,25.5,7.8,20.5,24.7,≤5.0,Elementary School,2018-2019,,
